,Subject,Description,Start Date,Start  Time,End Time,Location
0,Ch 001A,"Course Title: General Chemistry
Section/Instructor: 07 Lewis, N",2022-09-27,11:00,11:55, Lecture Hall BAX
1,Ch 001A,"Course Title: General Chemistry
Section/Instructor: 07 Lewis, N",2022-10-03,11:00,11:55, Lecture Hall BAX
2,Ch 001A,"Course Title: General Chemistry
Section/Instructor: 07 Lewis, N",2022-10-04,11:00,11:55, Lecture Hall BAX
3,Ch 001A,"Course Title: General Chemistry
Section/Instructor: 07 Lewis, N",2022-10-10,11:00,11:55, Lecture Hall BAX
4,Ch 001A,"Course Title: General Chemistry
Section/Instructor: 07 Lewis, N",2022-10-11,11:00,11:55, Lecture Hall BAX
5,Ch 001A,"Course Title: General Chemistry
Section/Instructor: 07 Lewis, N",2022-10-17,11:00,11:55, Lecture Hall BAX
6,Ch 001A,"Course Title: General Chemistry
Section/Instructor: 07 Lewis, N",2022-10-18,11:00,11:55, Lecture Hall BAX
7,Ch 001A,"Course Title: General Chemistry
Section/Instructor: 07 Lewis, N",2022-10-24,11:00,11:55, Lecture Hall BAX
8,Ch 001A,"Course Title: General Chemistry
Section/Instructor: 07 Lewis, N",2022-10-25,11:00,11:55, Lecture Hall BAX
9,Ch 001A,"Course Title: General Chemistry
Section/Instructor: 07 Lewis, N",2022-10-31,11:00,11:55, Lecture Hall BAX
10,Ch 001A,"Course Title: General Chemistry
Section/Instructor: 07 Lewis, N",2022-11-01,11:00,11:55, Lecture Hall BAX
11,Ch 001A,"Course Title: General Chemistry
Section/Instructor: 07 Lewis, N",2022-11-07,11:00,11:55, Lecture Hall BAX
12,Ch 001A,"Course Title: General Chemistry
Section/Instructor: 07 Lewis, N",2022-11-08,11:00,11:55, Lecture Hall BAX
13,Ch 001A,"Course Title: General Chemistry
Section/Instructor: 07 Lewis, N",2022-11-14,11:00,11:55, Lecture Hall BAX
14,Ch 001A,"Course Title: General Chemistry
Section/Instructor: 07 Lewis, N",2022-11-15,11:00,11:55, Lecture Hall BAX
15,Ch 001A,"Course Title: General Chemistry
Section/Instructor: 07 Lewis, N",2022-11-21,11:00,11:55, Lecture Hall BAX
16,Ch 001A,"Course Title: General Chemistry
Section/Instructor: 07 Lewis, N",2022-11-22,11:00,11:55, Lecture Hall BAX
17,Ch 001A,"Course Title: General Chemistry
Section/Instructor: 07 Lewis, N",2022-11-28,11:00,11:55, Lecture Hall BAX
18,Ch 001A,"Course Title: General Chemistry
Section/Instructor: 07 Lewis, N",2022-11-29,11:00,11:55, Lecture Hall BAX
19,Ch 001A Recitation,"Course Title: General Chemistry
Section/Instructor: nan",2022-09-29,11:00,11:55,152 BRN
20,Ch 001A Recitation,"Course Title: General Chemistry
Section/Instructor: nan",2022-10-06,11:00,11:55,152 BRN
21,Ch 001A Recitation,"Course Title: General Chemistry
Section/Instructor: nan",2022-10-13,11:00,11:55,152 BRN
22,Ch 001A Recitation,"Course Title: General Chemistry
Section/Instructor: nan",2022-10-20,11:00,11:55,152 BRN
23,Ch 001A Recitation,"Course Title: General Chemistry
Section/Instructor: nan",2022-10-27,11:00,11:55,152 BRN
24,Ch 001A Recitation,"Course Title: General Chemistry
Section/Instructor: nan",2022-11-03,11:00,11:55,152 BRN
25,Ch 001A Recitation,"Course Title: General Chemistry
Section/Instructor: nan",2022-11-10,11:00,11:55,152 BRN
26,Ch 001A Recitation,"Course Title: General Chemistry
Section/Instructor: nan",2022-11-17,11:00,11:55,152 BRN
27,Ch 001A Recitation,"Course Title: General Chemistry
Section/Instructor: nan",2022-12-01,11:00,11:55,152 BRN
28,EE/ME 007,"Course Title: Introduction to Mechatronics
Section/Instructor: 01 George, G",2022-09-28,13:00,13:55, B270 MRE
29,EE/ME 007,"Course Title: Introduction to Mechatronics
Section/Instructor: 01 George, G",2022-10-03,13:00,13:55, B270 MRE
30,EE/ME 007,"Course Title: Introduction to Mechatronics
Section/Instructor: 01 George, G",2022-10-05,13:00,13:55, B270 MRE
31,EE/ME 007,"Course Title: Introduction to Mechatronics
Section/Instructor: 01 George, G",2022-10-10,13:00,13:55, B270 MRE
32,EE/ME 007,"Course Title: Introduction to Mechatronics
Section/Instructor: 01 George, G",2022-10-12,13:00,13:55, B270 MRE
33,EE/ME 007,"Course Title: Introduction to Mechatronics
Section/Instructor: 01 George, G",2022-10-17,13:00,13:55, B270 MRE
34,EE/ME 007,"Course Title: Introduction to Mechatronics
Section/Instructor: 01 George, G",2022-10-19,13:00,13:55, B270 MRE
35,EE/ME 007,"Course Title: Introduction to Mechatronics
Section/Instructor: 01 George, G",2022-10-24,13:00,13:55, B270 MRE
36,EE/ME 007,"Course Title: Introduction to Mechatronics
Section/Instructor: 01 George, G",2022-10-26,13:00,13:55, B270 MRE
37,EE/ME 007,"Course Title: Introduction to Mechatronics
Section/Instructor: 01 George, G",2022-10-31,13:00,13:55, B270 MRE
38,EE/ME 007,"Course Title: Introduction to Mechatronics
Section/Instructor: 01 George, G",2022-11-02,13:00,13:55, B270 MRE
39,EE/ME 007,"Course Title: Introduction to Mechatronics
Section/Instructor: 01 George, G",2022-11-07,13:00,13:55, B270 MRE
40,EE/ME 007,"Course Title: Introduction to Mechatronics
Section/Instructor: 01 George, G",2022-11-09,13:00,13:55, B270 MRE
41,EE/ME 007,"Course Title: Introduction to Mechatronics
Section/Instructor: 01 George, G",2022-11-14,13:00,13:55, B270 MRE
42,EE/ME 007,"Course Title: Introduction to Mechatronics
Section/Instructor: 01 George, G",2022-11-16,13:00,13:55, B270 MRE
43,EE/ME 007,"Course Title: Introduction to Mechatronics
Section/Instructor: 01 George, G",2022-11-21,13:00,13:55, B270 MRE
44,EE/ME 007,"Course Title: Introduction to Mechatronics
Section/Instructor: 01 George, G",2022-11-23,13:00,13:55, B270 MRE
45,EE/ME 007,"Course Title: Introduction to Mechatronics
Section/Instructor: 01 George, G",2022-11-28,13:00,13:55, B270 MRE
46,EE/ME 007,"Course Title: Introduction to Mechatronics
Section/Instructor: 01 George, G",2022-11-30,13:00,13:55, B270 MRE
47,ME 010,"Course Title: Thinking Like an Engineer
Section/Instructor: 01 Colonius, T",2022-09-28,12:00,12:55,135 GTL
48,ME 010,"Course Title: Thinking Like an Engineer
Section/Instructor: 01 Colonius, T",2022-10-05,12:00,12:55,135 GTL
49,ME 010,"Course Title: Thinking Like an Engineer
Section/Instructor: 01 Colonius, T",2022-10-12,12:00,12:55,135 GTL
50,ME 010,"Course Title: Thinking Like an Engineer
Section/Instructor: 01 Colonius, T",2022-10-19,12:00,12:55,135 GTL
51,ME 010,"Course Title: Thinking Like an Engineer
Section/Instructor: 01 Colonius, T",2022-10-26,12:00,12:55,135 GTL
52,ME 010,"Course Title: Thinking Like an Engineer
Section/Instructor: 01 Colonius, T",2022-11-02,12:00,12:55,135 GTL
53,ME 010,"Course Title: Thinking Like an Engineer
Section/Instructor: 01 Colonius, T",2022-11-09,12:00,12:55,135 GTL
54,ME 010,"Course Title: Thinking Like an Engineer
Section/Instructor: 01 Colonius, T",2022-11-16,12:00,12:55,135 GTL
55,ME 010,"Course Title: Thinking Like an Engineer
Section/Instructor: 01 Colonius, T",2022-11-23,12:00,12:55,135 GTL
56,ME 010,"Course Title: Thinking Like an Engineer
Section/Instructor: 01 Colonius, T",2022-11-30,12:00,12:55,135 GTL
57,Ma 001A,"Course Title: Calculus of One and Several Variables and Linear Algebra
Section/Instructor: 08 Katz, N",2022-09-28,10:00,10:55, Lecture Hall BAX
58,Ma 001A,"Course Title: Calculus of One and Several Variables and Linear Algebra
Section/Instructor: 08 Katz, N",2022-09-30,10:00,10:55, Lecture Hall BAX
59,Ma 001A,"Course Title: Calculus of One and Several Variables and Linear Algebra
Section/Instructor: 08 Katz, N",2022-10-03,10:00,10:55, Lecture Hall BAX
60,Ma 001A,"Course Title: Calculus of One and Several Variables and Linear Algebra
Section/Instructor: 08 Katz, N",2022-10-05,10:00,10:55, Lecture Hall BAX
61,Ma 001A,"Course Title: Calculus of One and Several Variables and Linear Algebra
Section/Instructor: 08 Katz, N",2022-10-07,10:00,10:55, Lecture Hall BAX
62,Ma 001A,"Course Title: Calculus of One and Several Variables and Linear Algebra
Section/Instructor: 08 Katz, N",2022-10-10,10:00,10:55, Lecture Hall BAX
